report_id	facility_id	jurisdiction_facility_id	facility_name	registered_business_name	primary_anzsic_class_code	primary_anzsic_class_name	substance_id	substance_name	air_total_emission_kg	suburb	postcode	latitude	longitude
490518	595342	30554	AGL Qenos Cogeneration	AGL ENERGY SERVICES PTY LIMITED	2611	Fossil Fuel Electricity Generation	77	Sulfur dioxide	390.6812	Altona 	3018	-37.848833	144.811306
490518	595342	30554	AGL Qenos Cogeneration	AGL ENERGY SERVICES PTY LIMITED	2611	Fossil Fuel Electricity Generation	85	Total Volatile Organic Compounds	2718.881	Altona 	3018	-37.848833	144.811306
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	20	Carbon monoxide	3156822.95	Traralgon	3844	-38.251662	146.589831
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	69	Oxides of Nitrogen	21347118.19	Traralgon	3844	-38.251662	146.589831
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	511510.585	Traralgon	3844	-38.251662	146.589831
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	70	Particulate Matter ¡Ü10.0 ?m (PM10)	4097618	Traralgon	3844	-38.251662	146.589831
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	77	Sulfur dioxide	51741378.92	Traralgon	3844	-38.251662	146.589831
490520	526972	4339	AGL Loy Yang	AGL LOY YANG PTY LTD	2611	Fossil Fuel Electricity Generation	85	Total Volatile Organic Compounds	381707.029	Traralgon	3844	-38.251662	146.589831
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	20	Carbon monoxide	8889.744	Somerton	3062	-37.629781	144.950082
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	69	Oxides of Nitrogen	27725	Somerton	3062	-37.629781	144.950082
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	1150.214	Somerton	3062	-37.629781	144.950082
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	70	Particulate Matter ¡Ü10.0 ?m (PM10)	1192.815	Somerton	3062	-37.629781	144.950082
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	77	Sulfur dioxide	88.2003	Somerton	3062	-37.629781	144.950082
489958	535358	21386	AGL Somerton Power Station	AGL POWER GENERATION PTY LIMITED	2611	Fossil Fuel Electricity Generation	85	Total Volatile Organic Compounds	387.6648	Somerton	3062	-37.629781	144.950082
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	20	Carbon monoxide	797	Dandenong	3175	-38.00193	145.224475
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	69	Oxides of Nitrogen	483	Dandenong	3175	-38.00193	145.224475
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	32	Dandenong	3175	-38.00193	145.224475
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	180	Dandenong	3175	-38.00193	145.224475
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	77	Sulfur dioxide	5	Dandenong	3175	-38.00193	145.224475
489922	524948	4082	AIRSTEP AUSTRALIA PTY LTD	AIRSTEP AUSTRALIA PTY LTD	1920	Natural Rubber Product Manufacturing	85	Total Volatile Organic Compounds	2501	Dandenong	3175	-38.00193	145.224475
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	20	Carbon monoxide	1074.078	Sunshine	3020	-37.770685	144.828274
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	69	Oxides of Nitrogen	913.091	Sunshine	3020	-37.770685	144.828274
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	312.174	Sunshine	3020	-37.770685	144.828274
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	312.174	Sunshine	3020	-37.770685	144.828274
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	77	Sulfur dioxide	10.163	Sunshine	3020	-37.770685	144.828274
494188	525326	4121	Akzo Nobel Pty Limited	AKZO NOBEL PTY LIMITED	1916	Paint and Coatings Manufacturing	85	Total Volatile Organic Compounds	33175.941	Sunshine	3020	-37.770685	144.828274
494898	529356	4728	Alcoa Point Henry Smelter	ALCOA OF AUSTRALIA LIMITED	2132	Aluminium Smelting	20	Carbon monoxide	21312	Point Henry	3221	-38.134904	144.424923
494898	529356	4728	Alcoa Point Henry Smelter	ALCOA OF AUSTRALIA LIMITED	2132	Aluminium Smelting	69	Oxides of Nitrogen	1746	Point Henry	3221	-38.134904	144.424923
494898	529356	4728	Alcoa Point Henry Smelter	ALCOA OF AUSTRALIA LIMITED	2132	Aluminium Smelting	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	92	Point Henry	3221	-38.134904	144.424923
494898	529356	4728	Alcoa Point Henry Smelter	ALCOA OF AUSTRALIA LIMITED	2132	Aluminium Smelting	70	Particulate Matter ¡Ü10.0 ?m (PM10)	1806	Point Henry	3221	-38.134904	144.424923
494898	529356	4728	Alcoa Point Henry Smelter	ALCOA OF AUSTRALIA LIMITED	2132	Aluminium Smelting	85	Total Volatile Organic Compounds	62.2	Point Henry	3221	-38.134904	144.424923
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	20	Carbon monoxide	30565101	Portland	3305	-38.376902	141.631055
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	69	Oxides of Nitrogen	190789	Portland	3305	-38.376902	141.631055
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	3782	Portland	3305	-38.376902	141.631055
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	70	Particulate Matter ¡Ü10.0 ?m (PM10)	56665	Portland	3305	-38.376902	141.631055
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	77	Sulfur dioxide	4603441	Portland	3305	-38.376902	141.631055
494576	529376	4729	Alcoa Portland Aluminium	ALCOA PORTLAND ALUMINIUM PTY LTD	2132	Aluminium Smelting	85	Total Volatile Organic Compounds	2793	Portland	3305	-38.376902	141.631055
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	20	Carbon monoxide	8853.818502	Dandenong South	3175	-38.0226	145.19592
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	69	Oxides of Nitrogen	6871.732053	Dandenong South	3175	-38.0226	145.19592
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	264.8202437	Dandenong South	3175	-38.0226	145.19592
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	12298.78003	Dandenong South	3175	-38.0226	145.19592
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	77	Sulfur dioxide	412.278979	Dandenong South	3175	-38.0226	145.19592
491036	596420	30562	Dandenong South	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	85	Total Volatile Organic Compounds	5176.628648	Dandenong South	3175	-38.0226	145.19592
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	20	Carbon monoxide	9214.57424	Laverton North	3026	-37.826072	144.791287
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	69	Oxides of Nitrogen	7534.36297	Laverton North	3026	-37.826072	144.791287
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	321.3674158	Laverton North	3026	-37.826072	144.791287
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	10020.87091	Laverton North	3026	-37.826072	144.791287
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	77	Sulfur dioxide	408.529624	Laverton North	3026	-37.826072	144.791287
491038	534800	19883	Laverton North	ALEX FRASER ASPHALT PTY LTD	1709	Other Petroleum and Coal Product Manufacturing	85	Total Volatile Organic Compounds	5105.544925	Laverton North	3026	-37.826072	144.791287
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	20	Carbon monoxide	863.14	Prahran	3181	-37.845331	144.982316
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	69	Oxides of Nitrogen	1164.5	Prahran	3181	-37.845331	144.982316
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	77.295	Prahran	3181	-37.845331	144.982316
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	70	Particulate Matter ¡Ü10.0 ?m (PM10)	77.295	Prahran	3181	-37.845331	144.982316
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	77	Sulfur dioxide	10.603275	Prahran	3181	-37.845331	144.982316
491564	597036	30564	Alfred Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	85	Total Volatile Organic Compounds	57.919	Prahran	3181	-37.845331	144.982316
